month,lat_bin,lon_bin,count,mean_frp,h_share
2019-09,-35.9,144.3,3,1.9000000000000001,0.0
2019-09,-35.9,146.5,2,0.9500000000000001,0.0
2019-09,-35.9,147.1,1,0.8,0.0
2019-09,-35.9,147.7,1,7.4,0.0
2019-09,-35.9,149.5,1,6.1,0.0
2019-09,-35.7,138.3,1,2.0,0.0
2019-09,-35.7,139.9,11,5.890909090909091,0.09090909090909091
2019-09,-35.7,144.1,1,2.7,0.0
2019-09,-35.7,144.3,5,6.0600000000000005,0.4
2019-09,-35.7,145.7,1,0.5,0.0
2019-09,-35.7,147.9,4,12.25,0.0
2019-09,-35.7,150.1,58,4.01551724137931,0.0
2019-09,-35.7,150.3,24,2.904166666666667,0.0
2019-09,-35.5,138.9,1,3.1,0.0
2019-09,-35.5,143.7,9,9.88888888888889,0.0
2019-09,-35.5,144.7,2,1.2000000000000002,0.0
2019-09,-35.5,144.9,1,2.6,0.0
2019-09,-35.5,146.1,1,8.7,0.0
2019-09,-35.5,146.5,1,6.4,0.0
2019-09,-35.5,147.5,4,3.725,0.0
2019-09,-35.5,147.7,1,2.5,0.0
2019-09,-35.5,148.1,4,3.975,0.0
2019-09,-35.5,149.3,1,1.1,0.0
2019-09,-35.5,149.5,9,6.366666666666666,0.1111111111111111
2019-09,-35.5,149.7,1,5.4,0.0
2019-09,-35.5,149.9,87,14.944827586206896,0.04597701149425287
2019-09,-35.5,150.1,40,5.84,0.0
2019-09,-35.5,150.3,7,2.4714285714285715,0.0
2019-09,-35.3,138.5,1,2.4,0.0
2019-09,-35.3,143.9,1,4.6,0.0
2019-09,-35.3,147.5,1,1.0,0.0
2019-09,-35.3,147.9,1,4.5,0.0
2019-09,-35.3,148.1,2,2.1,0.0
2019-09,-35.3,148.3,1,1.8,0.0
2019-09,-35.3,148.7,4,2.375,0.0
2019-09,-35.3,149.5,4,19.225,0.0
2019-09,-35.3,149.7,73,16.817808219178083,0.0958904109589041
2019-09,-35.3,150.1,180,5.973333333333334,0.005555555555555556
2019-09,-35.3,150.3,71,3.7859154929577468,0.014084507042253521
2019-09,-35.1,137.7,1,0.4,0.0
2019-09,-35.1,143.3,1,0.6,0.0
2019-09,-35.1,143.9,2,5.05,0.0
2019-09,-35.1,144.3,5,6.5,0.0
2019-09,-35.1,145.7,1,0.8,0.0
2019-09,-35.1,145.9,2,4.1,0.0
2019-09,-35.1,147.3,2,2.15,0.0
2019-09,-35.1,147.5,1,3.0,0.0
2019-09,-35.1,148.5,2,1.6,0.0
2019-09,-34.9,116.7,1,11.2,0.0
2019-09,-34.9,117.9,2,4.25,0.0
2019-09,-34.9,118.1,3,2.3333333333333335,0.0
2019-09,-34.9,135.7,13,13.584615384615384,0.15384615384615385
2019-09,-34.9,135.9,17,15.605882352941178,0.35294117647058826
2019-09,-34.9,137.5,1,1.2,0.0
2019-09,-34.9,138.5,3,1.0,0.0
2019-09,-34.9,138.7,1,0.5,0.0
2019-09,-34.9,139.3,1,2.5,0.0
2019-09,-34.9,139.5,4,10.275,0.5
2019-09,-34.9,142.3,3,4.1000000000000005,0.0
2019-09,-34.9,142.5,2,1.7,0.0
2019-09,-34.9,143.7,1,3.6,0.0
2019-09,-34.9,145.9,2,0.6499999999999999,0.0
2019-09,-34.9,148.1,1,1.4,0.0
2019-09,-34.9,148.3,1,0.7,0.0
2019-09,-34.9,148.7,1,3.2,0.0
2019-09,-34.9,149.1,1,0.6,0.0
2019-09,-34.7,117.3,1,0.5,0.0
2019-09,-34.7,117.5,2,5.300000000000001,0.0
2019-09,-34.7,117.7,11,8.945454545454545,0.0
2019-09,-34.7,117.9,1,8.6,0.0
2019-09,-34.7,118.1,3,27.400000000000002,0.0
2019-09,-34.7,118.3,1,1.5,0.0
2019-09,-34.7,138.9,9,11.577777777777778,0.0
2019-09,-34.7,142.5,2,6.55,0.0
2019-09,-34.7,142.9,2,1.65,0.0
2019-09,-34.7,143.1,3,3.0666666666666664,0.0
2019-09,-34.7,143.3,3,0.9,0.0
2019-09,-34.7,145.9,3,4.3,0.0
2019-09,-34.7,146.5,1,3.9,0.0
2019-09,-34.7,149.3,1,0.5,0.0
2019-09,-34.7,149.5,5,5.220000000000001,0.0
2019-09,-34.7,149.7,2,1.6,0.0
2019-09,-34.7,150.1,1,2.3,0.0
2019-09,-34.5,115.9,2,3.5,0.0
2019-09,-34.5,116.7,1,0.6,0.0
2019-09,-34.5,117.1,6,3.5999999999999996,0.0
2019-09,-34.5,117.3,2,10.899999999999999,0.0
2019-09,-34.5,117.5,1,0.8,0.0
2019-09,-34.5,117.7,11,6.754545454545454,0.0
2019-09,-34.5,117.9,45,42.842222222222226,0.2222222222222222
2019-09,-34.5,118.3,2,4.95,0.0
2019-09,-34.5,118.9,3,3.5,0.0
2019-09,-34.5,138.7,2,2.25,0.0
2019-09,-34.5,139.5,1,1.2,0.0
2019-09,-34.5,140.3,1,0.7,0.0
2019-09,-34.5,142.1,1,3.4,0.0
2019-09,-34.5,143.3,2,1.9,0.0
2019-09,-34.5,145.5,1,0.3,0.0
2019-09,-34.5,145.9,4,4.275,0.0
2019-09,-34.5,146.5,1,0.5,0.0
2019-09,-34.5,147.7,1,3.8,0.0
2019-09,-34.5,148.3,3,3.8333333333333335,0.0
2019-09,-34.5,148.5,4,0.575,0.0
2019-09,-34.5,148.7,2,5.3,0.0
2019-09,-34.5,149.7,5,3.8800000000000003,0.0
2019-09,-34.5,150.3,2,0.75,0.0
2019-09,-34.5,150.9,160,2.92375,0.0
2019-09,-34.3,116.3,1,0.6,0.0
2019-09,-34.3,117.1,5,1.44,0.0
2019-09,-34.3,117.3,1,2.9,0.0
2019-09,-34.3,117.7,20,9.77,0.05
2019-09,-34.3,117.9,3,7.7,0.0
2019-09,-34.3,118.7,1,2.1,0.0
