latitude,longitude,acq_date,acq_time,confidence,frp
-27.25417,152.28047,17/11/2019,1518,n,1.7
-16.60693,123.73492,19/11/2019,506,n,15.7
-27.92994,128.12541,19/12/2019,542,n,26.5
-36.27216,149.64952,30/12/2019,1512,h,18.0
-22.60915,150.31993,30/11/2019,318,n,38.2
-30.91019,151.93593,11/11/2019,1348,n,2.7
-33.04961,150.27005,19/11/2019,1442,n,6.7
-26.58694,125.87092,23/11/2019,1642,n,1.9
-30.1581,152.79089,20/11/2019,1418,n,1.4
-30.96317,151.90633,11/12/2019,1512,n,13.9
-27.37444,150.88826,16/12/2019,1430,n,4.4
-16.90947,138.37453,18/12/2019,1530,n,1.8
-17.00217,137.85358,25/12/2019,1642,n,1.9
-32.81316,150.24895,18/12/2019,1536,n,3.3
-28.3166,129.36139,23/12/2019,424,h,25.8
-34.92134,150.20853,28/12/2019,430,h,62.0
-17.05528,124.12654,26/11/2019,1724,n,3.4
-37.48547,148.80148,30/12/2019,1512,h,447.0
-12.82296,135.21667,15/12/2019,518,n,3.1
-13.00817,143.29581,20/11/2019,306,n,4.0
-37.65902,147.59392,01/01/2020,1436,n,8.2
-18.00073,145.03226,17/12/2019,1554,n,0.7
-30.09319,150.32091,16/12/2019,1430,n,5.4
-33.02578,149.91043,21/12/2019,1442,n,10.5
-35.83254,148.21991,31/12/2019,1454,n,2.4
-25.44924,150.49532,30/11/2019,1430,n,2.3
-30.08459,152.38641,09/10/2019,1454,n,17.2
-15.76819,143.20944,18/12/2019,424,n,24.0
-27.27592,152.11763,18/11/2019,1500,n,0.9
-30.96196,152.18571,27/10/2019,354,n,13.8
-14.45333,143.72957,29/12/2019,418,n,2.4
-12.53707,136.6609,11/09/2019,454,n,8.8
-31.11181,150.60965,16/12/2019,1430,n,1.8
-37.11905,148.16606,30/12/2019,354,h,16.9
-30.71498,152.07953,27/09/2019,1436,n,1.7
-12.75888,141.82347,15/09/2019,349,n,5.1
-13.04949,130.41312,18/09/2019,433,n,18.6
-30.075,152.51572,25/10/2019,1406,n,1.7
-14.54279,127.13714,21/11/2019,430,n,7.1
-29.7328,152.10191,15/09/2019,1501,n,15.8
-29.90746,152.28235,16/12/2019,318,l,23.5
-12.6421,135.01221,15/12/2019,1630,n,1.2
-28.80279,128.80853,29/12/2019,554,h,10.5
-37.67586,148.12762,30/12/2019,1512,h,29.4
-24.76935,133.04616,20/11/2019,448,l,0.4
-30.12722,152.69141,11/12/2019,1512,n,5.1
-20.59087,127.10205,27/12/2019,1606,n,3.4
-29.1245,151.6284,13/11/2019,336,n,59.1
-14.88773,125.59318,10/10/2019,600,n,7.5
-32.24707,150.93898,17/11/2019,1518,n,1.9
-14.19202,127.35117,20/11/2019,448,l,5.3
-30.0963,152.34715,09/10/2019,338,n,10.5
-33.43158,150.62898,12/09/2019,348,n,4.4
-14.07269,129.98993,23/10/2019,512,n,7.7
-27.35777,128.99104,11/11/2019,412,l,17.7
-30.60469,152.33488,26/11/2019,248,n,6.4
-27.41116,150.9117,17/12/2019,1412,n,6.0
-21.38261,140.66853,31/12/2019,1630,n,20.8
-17.28623,125.46188,09/11/2019,504,l,13.1
-21.28779,119.44357,27/10/2019,536,h,47.6
-14.05133,127.11236,28/10/2019,518,n,6.7
-24.33978,129.12178,30/12/2019,1648,n,5.1
-33.24664,150.16031,21/12/2019,1442,n,2.1
-16.55407,142.67957,18/11/2019,348,l,10.3
-29.67631,152.05258,11/09/2019,1424,n,1.4
-30.04298,152.65283,28/10/2019,1454,n,6.2
-12.95094,135.85954,10/12/2019,342,n,25.8
-33.16458,150.34256,13/11/2019,1454,n,1.9
-35.08663,150.11084,30/12/2019,354,l,9.8
-12.25667,136.01617,22/10/2019,354,l,5.5
-30.08155,152.20172,13/09/2019,1538,n,1.7
-30.49912,150.93573,13/12/2019,1530,n,0.4
-30.25835,150.32784,15/12/2019,1454,n,1.6
-26.81474,152.44284,11/12/2019,1512,n,1.2
-28.68247,122.86842,16/10/2019,542,l,2.6
-17.93815,145.42055,19/12/2019,1512,n,2.2
-16.64178,123.67324,30/11/2019,500,l,19.5
-23.54535,116.3822,19/12/2019,1654,n,1.6
-35.07982,150.52631,31/12/2019,1454,n,1.2
-31.49347,152.22644,13/11/2019,1454,n,1.4
-32.07039,121.54098,20/12/2019,1642,n,1.3
-14.28023,135.44653,13/09/2019,427,n,9.0
-30.05837,152.49501,25/10/2019,1406,n,2.0
-24.61157,148.9938,23/10/2019,1442,n,1.0
-37.53709,149.26645,01/01/2020,1436,n,2.1
-34.28659,150.16937,26/12/2019,330,l,6.9
-32.95336,150.54367,21/11/2019,1542,n,3.6
-33.83932,150.33496,14/12/2019,354,n,3.6
-25.97256,150.54198,01/01/2020,1430,n,1.1
-31.57078,151.68492,15/12/2019,1454,n,0.7
-32.79239,150.66159,15/12/2019,1454,n,3.7
-33.97255,150.25908,12/09/2019,1506,n,0.5
-11.55488,132.88472,10/11/2019,1648,n,1.0
-28.77509,128.56665,29/12/2019,412,n,69.3
-30.98479,151.15501,15/11/2019,254,n,5.1
-19.72204,121.68182,27/11/2019,1706,n,122.8
-11.53824,142.54155,24/11/2019,1624,n,0.9
-11.60374,130.79082,14/09/2019,409,h,5.5
-16.09126,125.25287,30/10/2019,442,n,47.4
-32.13804,151.39951,31/12/2019,336,n,17.5
-28.10043,129.1627,19/12/2019,1700,n,7.8
-28.14424,153.0583,19/12/2019,400,n,5.5
-36.43801,149.76212,30/12/2019,1512,n,125.4
-17.00978,125.08672,21/12/2019,506,l,13.9
-20.17861,139.71259,25/11/2019,454,n,1.6
-32.8929,150.91954,27/11/2019,1348,n,1.8
-13.47922,141.62492,13/11/2019,342,n,4.7
